EndNode1,EndNode2,TurnID,DualNode,Weight
415,191,159762,95,1.0
415,192,159761,95,1.0
416,425,101394,213,1.0
416,427,101395,213,1.0
416,428,101393,213,0.0
417,248,117658,120,1.0
417,250,117659,120,1.0
418,543,160906,276,1.0
419,713,194608,394,1.0
420,677,138422,369,1.0
422,237,100973,115,1.0
422,238,100974,115,1.0
424,660,142501,354,1.0
425,297,147881,141,1.0
425,299,147882,141,1.0
426,415,103861,208,1.0
427,483,184900,242,1.0
429,233,165559,113,1.0
430,431,101650,216,1.0
431,592,175250,306,1.0
431,593,175249,306,1.0
432,31,137829,14,1.0
433,165,108536,82,1.0
434,364,191548,179,1.0
434,366,191547,179,0.0
435,488,171085,245,1.0
435,489,171086,245,1.0
436,290,102247,138,1.0
437,698,185432,382,1.0
438,626,188435,329,1.0
439,120,163280,61,1.0
439,121,163281,61,1.0
440,218,124242,106,1.0
440,220,124243,106,1.0
441,264,127970,127,1.0
442,443,158063,223,1.0
443,526,119478,265,1.0
444,764,198525,415,1.0
444,765,198524,415,3.33333333333333
444,767,198526,415,1.0
445,269,129658,129,1.0
445,271,129659,129,1.0
446,447,158407,226,1.0
447,370,168849,181,1.0
447,371,168848,181,1.0
448,445,149138,225,1.0
449,269,129656,129,1.0
449,270,129657,129,1.0
450,367,167334,180,1.0
450,369,167335,180,1.0
451,555,121178,283,1.0
451,556,121177,283,1.0
452,497,156734,250,1.0
452,499,156733,250,1.0
453,724,197746,400,1.0
453,725,197748,400,1.0
453,727,197747,400,1.0
454,457,175535,230,1.0
455,724,197737,400,1.0
455,725,197738,400,1.0
455,726,197736,400,1.0
456,455,148314,229,1.0
457,614,195511,320,1.0
459,74,172300,35,1.0
459,75,172301,35,1.0
460,328,189329,158,1.0
460,329,189328,158,1.0
461,558,193772,284,1.0
462,464,157967,234,1.0
462,466,157968,234,1.0
462,467,157969,234,1.0
463,598,152049,311,1.0
463,600,152048,311,1.0
464,340,166838,165,1.0
465,463,123935,233,1.0
466,477,120105,239,1.0
467,754,198278,411,1.0
467,755,198277,411,1.0
468,301,164892,143,1.0
469,470,186700,236,1.0
469,471,186699,236,1.0
470,1,132044,1,1.0
470,2,132045,1,1.0
471,590,111822,304,1.0
472,753,198003,410,1.0
473,90,164230,45,1.0
473,91,164231,45,1.0
474,251,151318,121,1.0
474,252,151319,121,1.0
474,254,151320,121,1.0
475,476,120104,239,1.0
476,464,157974,234,1.0
476,465,157973,234,1.0
476,467,157975,234,1.0
477,473,105721,238,1.0
477,474,105722,238,1.0
478,10,118181,6,1.0
478,11,118182,6,1.0
479,552,113710,281,1.0
480,43,152189,21,1.0
480,44,152191,21,1.0
480,46,152190,21,1.0
481,211,104147,104,1.0
481,212,104148,104,1.0
482,264,127968,127,1.0
482,265,127969,127,1.0
484,117,119177,60,1.0
484,118,119178,60,1.0
485,657,143352,352,1.0
485,658,143353,352,3.33333333333333
486,568,163674,292,1.0
488,575,184097,298,1.0
489,715,192844,396,1.0
490,491,154566,247,1.0
490,492,154567,247,1.0
491,547,124444,278,1.0
491,548,124445,278,1.0
492,644,161174,341,1.0
492,645,161173,341,1.0
493,156,111923,77,1.0
494,297,147883,141,1.0
494,298,147884,141,1.0
495,483,184901,242,1.0
496,429,151444,214,1.0
497,327,183280,157,1.0
498,453,103050,228,1.0
499,501,163050,251,1.0
499,502,163049,251,1.0
500,497,156732,250,1.0
500,498,156731,250,1.0
501,583,110842,301,1.0
501,584,110843,301,1.0
502,634,150191,335,1.0
503,545,175726,277,1.0
503,546,175725,277,1.0
504,279,157520,134,1.0
504,281,157521,134,1.0
505,756,198288,412,1.0
506,508,104508,255,1.0
507,700,190911,384,1.0
508,520,137619,261,1.0
509,459,165598,232,1.0
509,460,165599,232,1.0
509,461,165600,232,1.0
510,694,183909,380,1.0
511,125,186343,63,1.0
511,127,186344,63,1.0
512,319,144515,154,1.0
512,320,144514,154,1.0
513,514,112458,258,1.0
513,515,112457,258,1.0
514,745,197872,406,1.0
514,746,197873,406,1.0
515,758,198290,413,1.0
515,759,198291,413,1.0
516,336,103315,163,1.0
517,527,127617,266,1.0
517,528,127616,266,1.0
518,651,147119,346,1.0
519,756,198285,412,1.0
519,757,198286,412,1.0
520,278,150688,133,1.0
521,266,116694,128,1.0
521,268,116693,128,1.0
522,526,119477,265,1.0
523,272,178551,130,1.0
523,273,178550,130,1.0
524,393,153188,194,1.0
524,394,153190,194,1.0
524,396,153189,194,1.0
525,521,146236,262,1.0
525,522,146237,262,1.0
526,337,150697,164,1.0
526,338,150695,164,1.0
526,339,150696,164,1.0
527,47,168162,22,1.0
527,48,168163,22,1.0
528,231,120946,112,1.0
529,532,162008,268,1.0
530,588,111521,303,1.0
530,589,111522,303,1.0
531,530,111527,267,1.0
532,675,162011,367,1.0
533,322,179626,155,1.0
533,323,179625,155,1.0
534,650,147118,346,1.0
535,525,190303,264,1.0
536,481,104142,241,1.0
536,482,104141,241,1.0
537,43,152183,21,1.0
537,44,152184,21,1.0
537,45,152185,21,1.0
538,367,167336,180,1.0
538,368,167337,180,1.0
539,540,106348,274,1.0
540,620,182761,324,1.0
541,138,128981,69,1.0
541,140,128980,69,1.0
542,244,183434,118,1.0
542,246,183435,118,1.0
543,384,164949,188,1.0
544,417,160912,209,1.0
544,419,160913,209,1.0
545,52,156729,24,1.0
545,53,156730,24,1.0
546,373,140231,182,1.0
546,374,140230,182,1.0
547,152,166705,75,1.0
548,199,165252,99,1.0
548,200,165253,99,1.0
548,202,165254,99,1.0
549,452,103049,228,1.0
549,453,103048,228,1.0
550,554,107397,282,1.0
551,710,181833,391,1.0
552,388,195686,191,1.0
553,478,181511,240,1.0
554,740,197839,404,1.0
555,134,175292,66,1.0
556,393,153191,194,1.0
556,394,153193,194,1.0
556,395,153192,194,1.0
557,449,138625,227,1.0
557,450,138624,227,1.0
558,248,117660,120,1.0
558,249,117661,120,1.0
559,459,165603,232,1.0
559,460,165604,232,1.0
560,302,185649,144,1.0
561,621,153572,325,1.0
562,684,143422,373,1.0
564,186,189067,93,1.0
564,188,189068,93,1.0
565,732,197775,402,1.0
565,733,197777,402,1.11111111111111
565,734,197776,402,1.11111111111111
565,735,197774,402,0.666666666666667
566,468,142935,235,1.0
566,469,142934,235,2.0
567,729,197757,401,1.0
567,730,197756,401,1.0
567,731,197758,401,2.0
568,569,179786,293,1.0
569,760,198503,414,1.0
569,761,198502,414,1.0
569,763,198501,414,3.33333333333333
570,387,112623,190,1.0
571,573,116522,296,1.0
572,630,147454,332,1.0
573,20,116524,10,1.0
573,21,116525,10,0.333333333333333
573,22,116526,10,1.0
574,724,197740,400,1.0
574,725,197742,400,1.0
574,726,197739,400,1.0
574,727,197741,400,1.0
575,251,151315,121,1.0
575,252,151316,121,1.0
575,253,151317,121,1.0
576,489,171087,245,1.0
577,25,136116,12,1.0
577,26,136117,12,1.0
578,587,111523,303,1.0
578,589,111524,303,1.0
579,624,132573,328,1.0
579,625,132574,328,1.0
580,582,110840,301,1.0
580,584,110841,301,1.0
581,674,162010,367,1.0
582,500,163053,251,1.0
582,502,163054,251,1.0
583,581,110838,300,1.0
584,708,187622,390,1.0
585,137,176935,68,1.0
586,695,194201,381,1.0
587,529,111528,267,1.0
588,577,151452,299,1.0
588,579,151451,299,1.0
589,605,137363,313,1.0
589,606,137362,313,0.0
590,740,197842,404,1.0
590,741,197845,404,1.0
591,649,145687,345,1.0
592,115,175251,58,1.0
593,594,177792,307,1.0
594,597,119889,310,1.0
595,596,167520,309,1.0
596,643,167521,340,1.0
597,728,197752,401,1.0
597,730,197750,401,1.0
597,731,197751,401,2.0
598,351,174707,169,1.0
599,462,123936,233,1.0
600,640,115502,339,1.0
600,641,115501,339,1.0
601,186,189069,93,1.0
601,187,189070,93,1.0
602,681,134104,371,1.0
604,587,111525,303,1.0
604,588,111526,303,1.0
605,612,132578,319,1.0
607,608,159562,315,1.0
608,690,148056,377,1.0
609,539,106347,273,1.0
610,611,188193,318,1.0
611,503,184863,252,1.0
612,76,137357,36,1.0
613,604,137361,313,1.0
613,606,137360,313,0.0
614,431,101651,216,1.0
615,164,121627,81,1.0
617,742,197853,405,1.0
617,743,197854,405,1.0
618,756,198287,412,1.0
619,182,110169,91,1.0
619,183,110168,91,1.0
620,764,198520,415,1.0
620,766,198518,415,3.33333333333333
620,767,198519,415,1.0
621,410,107184,204,1.0
621,411,107183,204,3.33333333333333
622,623,119104,327,1.0
623,760,198508,414,1.0
623,761,198509,414,1.0
623,762,198507,414,3.33333333333333
624,633,150192,335,1.0
625,669,189745,363,1.0
625,670,189746,363,1.0
626,401,150528,198,1.0
626,402,150527,198,1.0
627,94,118948,47,1.0
627,95,118949,47,1.0
628,678,164524,370,1.0
628,680,164525,370,1.0
629,13,169003,7,1.0
629,14,169002,7,3.33333333333333
630,384,164947,188,1.0
630,385,164948,188,1.0
631,717,197719,398,1.0
631,718,197717,398,1.66666666666667
631,720,197718,398,1.66666666666667
632,717,197722,398,1.0
632,718,197720,398,1.66666666666667
632,719,197721,398,1.0
633,500,163051,251,1.0
633,501,163052,251,1.0
634,625,132575,328,1.0
635,97,158275,48,1.0
635,98,158276,48,1.0
636,379,132484,185,1.0
637,574,181013,297,1.0
638,62,131917,29,1.0
639,733,197772,402,1.0
639,735,197770,402,0.6
639,736,197771,402,0.6
640,163,100350,80,1.0
641,359,169286,175,1.0
642,598,152051,311,1.0
642,599,152050,311,1.0
643,655,128526,350,1.0
644,199,165255,99,1.0
644,200,165256,99,1.0
644,201,165257,99,1.0
645,397,137186,195,1.0
645,398,137187,195,1.0
646,308,140172,148,1.0
646,309,140173,148,3.33333333333333
647,648,156955,344,1.0
648,310,109384,149,1.0
649,585,112184,302,1.0
649,586,112185,302,0.3
650,516,127614,259,1.0
650,517,127615,259,1.0
651,533,195702,269,1.0
652,570,195183,294,1.0
653,552,113712,281,1.0
653,553,113711,281,1.0
654,635,128332,336,1.0
654,636,128333,336,1.0
655,656,128529,351,1.0
656,742,197849,405,1.0
656,743,197856,405,1.0
656,744,198616,405,1.0
657,659,142742,353,1.0
658,683,140174,372,1.0
659,444,156847,224,1.0
660,301,164890,143,1.0
661,662,185650,356,1.0
662,654,188758,349,1.0
663,35,154040,17,1.0
663,36,154041,17,1.0
663,37,154042,17,1.0
664,303,179263,145,1.0
665,615,132120,321,1.0
665,616,132119,321,0.5
666,564,132021,289,1.0
666,565,132022,289,2.0
667,668,133222,362,1.0
668,665,188077,359,1.0
669,23,124250,11,1.0
670,549,162526,279,1.0
671,399,184219,196,1.0
672,560,134375,285,1.0
673,629,134292,331,1.0
